areaCode,areaName,date,cumCasesBySpecimenDate
E12000001,North East,11/01/2023,1030426
E12000001,North East,10/01/2023,1030361
E12000001,North East,09/01/2023,1030226
E12000001,North East,08/01/2023,1030064
E12000001,North East,07/01/2023,1029942
E12000001,North East,06/01/2023,1029807
E12000001,North East,05/01/2023,1029605
E12000001,North East,04/01/2023,1029394
E12000001,North East,03/01/2023,1029169
E12000001,North East,02/01/2023,1028866
E12000001,North East,01/01/2023,1028680
E12000001,North East,31/12/2022,1028556
E12000001,North East,30/12/2022,1028395
E12000001,North East,29/12/2022,1028146
E12000001,North East,28/12/2022,1027792
E12000001,North East,27/12/2022,1027472
E12000001,North East,26/12/2022,1027235
E12000001,North East,25/12/2022,1027071
E12000001,North East,24/12/2022,1026942
E12000001,North East,23/12/2022,1026797
E12000001,North East,22/12/2022,1026632
E12000001,North East,21/12/2022,1026413
E12000001,North East,20/12/2022,1026140
E12000001,North East,19/12/2022,1025831
E12000001,North East,18/12/2022,1025566
E12000001,North East,17/12/2022,1025392
E12000001,North East,16/12/2022,1025252
E12000001,North East,15/12/2022,1025046
E12000001,North East,14/12/2022,1024829
E12000001,North East,13/12/2022,1024589
E12000001,North East,12/12/2022,1024376
E12000001,North East,11/12/2022,1024163
E12000001,North East,10/12/2022,1023988
E12000001,North East,09/12/2022,1023863
E12000001,North East,08/12/2022,1023719
E12000001,North East,07/12/2022,1023558
E12000001,North East,06/12/2022,1023382
E12000001,North East,05/12/2022,1023196
E12000001,North East,04/12/2022,1022964
E12000001,North East,03/12/2022,1022817
E12000001,North East,02/12/2022,1022725
E12000001,North East,01/12/2022,1022592
E12000001,North East,30/11/2022,1022435
E12000001,North East,29/11/2022,1022258
E12000001,North East,28/11/2022,1022100
E12000001,North East,27/11/2022,1021923
E12000001,North East,26/11/2022,1021783
E12000001,North East,25/11/2022,1021704
E12000001,North East,24/11/2022,1021603
E12000001,North East,23/11/2022,1021465
E12000001,North East,22/11/2022,1021344
E12000001,North East,21/11/2022,1021193
E12000001,North East,20/11/2022,1021061
E12000001,North East,19/11/2022,1020969
E12000001,North East,18/11/2022,1020867
E12000001,North East,17/11/2022,1020762
E12000001,North East,16/11/2022,1020625
E12000001,North East,15/11/2022,1020503
E12000001,North East,14/11/2022,1020385
E12000001,North East,13/11/2022,1020228
E12000001,North East,12/11/2022,1020094
E12000001,North East,11/11/2022,1020000
E12000001,North East,10/11/2022,1019883
E12000001,North East,09/11/2022,1019754
E12000001,North East,08/11/2022,1019573
E12000001,North East,07/11/2022,1019424
E12000001,North East,06/11/2022,1019247
E12000001,North East,05/11/2022,1019103
E12000001,North East,04/11/2022,1018993
E12000001,North East,03/11/2022,1018867
E12000001,North East,02/11/2022,1018721
E12000001,North East,01/11/2022,1018503
E12000001,North East,31/10/2022,1018292
E12000001,North East,30/10/2022,1018069
E12000001,North East,29/10/2022,1017886
E12000001,North East,28/10/2022,1017759
E12000001,North East,27/10/2022,1017549
E12000001,North East,26/10/2022,1017356
E12000001,North East,25/10/2022,1017079
E12000001,North East,24/10/2022,1016804
E12000001,North East,23/10/2022,1016487
E12000001,North East,22/10/2022,1016218
E12000001,North East,21/10/2022,1016005
E12000001,North East,20/10/2022,1015712
E12000001,North East,19/10/2022,1015435
E12000001,North East,18/10/2022,1015108
E12000001,North East,17/10/2022,1014707
E12000001,North East,16/10/2022,1014251
E12000001,North East,15/10/2022,1013916
E12000001,North East,14/10/2022,1013656
E12000001,North East,13/10/2022,1013350
E12000001,North East,12/10/2022,1012993
E12000001,North East,11/10/2022,1012659
E12000001,North East,10/10/2022,1012253
E12000001,North East,09/10/2022,1011788
E12000001,North East,08/10/2022,1011381
E12000001,North East,07/10/2022,1011063
E12000001,North East,06/10/2022,1010666
E12000001,North East,05/10/2022,1010225
E12000001,North East,04/10/2022,1009768
E12000001,North East,03/10/2022,1009319
E12000001,North East,02/10/2022,1008839
E12000001,North East,01/10/2022,1008447
E12000001,North East,30/09/2022,1008140
E12000001,North East,29/09/2022,1007772
E12000001,North East,28/09/2022,1007368
E12000001,North East,27/09/2022,1006947
E12000001,North East,26/09/2022,1006496
