Date,Bitcoin
14/01/2018,72
21/01/2018,50
28/01/2018,54
04/02/2018,65
11/02/2018,36
18/02/2018,31
25/02/2018,24
04/03/2018,24
11/03/2018,24
18/03/2018,23
25/03/2018,23
01/04/2018,22
08/04/2018,20
15/04/2018,18
22/04/2018,19
29/04/2018,15
06/05/2018,16
13/05/2018,14
20/05/2018,15
27/05/2018,13
03/06/2018,12
10/06/2018,16
17/06/2018,13
24/06/2018,14
01/07/2018,12
08/07/2018,12
15/07/2018,14
22/07/2018,16
29/07/2018,13
05/08/2018,15
12/08/2018,13
19/08/2018,12
26/08/2018,13
02/09/2018,14
09/09/2018,13
16/09/2018,11
23/09/2018,11
30/09/2018,10
07/10/2018,10
14/10/2018,10
21/10/2018,9
28/10/2018,9
04/11/2018,10
11/11/2018,13
18/11/2018,18
25/11/2018,18
02/12/2018,15
09/12/2018,14
16/12/2018,14
23/12/2018,13
30/12/2018,11
06/01/2019,12
13/01/2019,10
20/01/2019,9
27/01/2019,9
03/02/2019,11
10/02/2019,9
17/02/2019,11
24/02/2019,9
03/03/2019,9
10/03/2019,9
17/03/2019,9
24/03/2019,9
31/03/2019,16
07/04/2019,13
14/04/2019,12
21/04/2019,12
28/04/2019,11
05/05/2019,15
12/05/2019,24
19/05/2019,18
26/05/2019,18
02/06/2019,16
09/06/2019,14
16/06/2019,21
23/06/2019,33
30/06/2019,22
07/07/2019,21
14/07/2019,21
21/07/2019,17
28/07/2019,16
04/08/2019,19
11/08/2019,17
18/08/2019,14
25/08/2019,14
01/09/2019,14
08/09/2019,12
15/09/2019,12
22/09/2019,16
29/09/2019,13
06/10/2019,12
13/10/2019,11
20/10/2019,14
27/10/2019,14
03/11/2019,12
10/11/2019,11
17/11/2019,12
24/11/2019,13
01/12/2019,11
08/12/2019,11
15/12/2019,12
22/12/2019,11
29/12/2019,11
05/01/2020,14
12/01/2020,15
19/01/2020,12
26/01/2020,13
02/02/2020,14
09/02/2020,16
16/02/2020,14
23/02/2020,14
01/03/2020,13
08/03/2020,24
15/03/2020,26
22/03/2020,19
29/03/2020,16
05/04/2020,17
12/04/2020,15
19/04/2020,16
26/04/2020,20
03/05/2020,23
10/05/2020,26
17/05/2020,18
24/05/2020,16
31/05/2020,16
07/06/2020,15
14/06/2020,13
21/06/2020,13
28/06/2020,13
05/07/2020,13
12/07/2020,14
19/07/2020,13
26/07/2020,21
02/08/2020,19
09/08/2020,17
16/08/2020,17
23/08/2020,15
30/08/2020,15
06/09/2020,14
13/09/2020,13
20/09/2020,12
27/09/2020,11
04/10/2020,11
11/10/2020,12
18/10/2020,17
25/10/2020,17
01/11/2020,19
08/11/2020,20
15/11/2020,28
22/11/2020,30
29/11/2020,27
06/12/2020,21
13/12/2020,33
20/12/2020,34
27/12/2020,53
03/01/2021,84
10/01/2021,83
17/01/2021,52
24/01/2021,50
31/01/2021,44
07/02/2021,76
14/02/2021,76
21/02/2021,81
28/02/2021,55
07/03/2021,53
14/03/2021,52
21/03/2021,48
28/03/2021,45
04/04/2021,43
11/04/2021,53
18/04/2021,66
25/04/2021,51
02/05/2021,43
09/05/2021,57
16/05/2021,100
23/05/2021,69
30/05/2021,49
06/06/2021,53
13/06/2021,40
20/06/2021,49
27/06/2021,36
04/07/2021,29
11/07/2021,29
18/07/2021,35
25/07/2021,39
01/08/2021,31
08/08/2021,37
15/08/2021,32
22/08/2021,32
29/08/2021,27
05/09/2021,39
12/09/2021,27
19/09/2021,34
26/09/2021,27
03/10/2021,33
10/10/2021,37
17/10/2021,47
24/10/2021,38
31/10/2021,31
07/11/2021,36
14/11/2021,37
21/11/2021,36
28/11/2021,36
05/12/2021,42
12/12/2021,35
19/12/2021,32
26/12/2021,31
02/01/2022,41
09/01/2022,38
16/01/2022,41
23/01/2022,52
30/01/2022,38
06/02/2022,37
13/02/2022,30
20/02/2022,39
27/02/2022,38
06/03/2022,33
13/03/2022,28
20/03/2022,28
27/03/2022,30
03/04/2022,28
10/04/2022,24
17/04/2022,22
24/04/2022,23
01/05/2022,24
08/05/2022,56
15/05/2022,38
22/05/2022,30
29/05/2022,26
05/06/2022,25
12/06/2022,68
19/06/2022,51
26/06/2022,37
03/07/2022,34
10/07/2022,30
17/07/2022,32
24/07/2022,27
31/07/2022,24
07/08/2022,24
14/08/2022,22
21/08/2022,22
28/08/2022,22
04/09/2022,22
11/09/2022,22
18/09/2022,23
25/09/2022,21
02/10/2022,18
09/10/2022,19
16/10/2022,16
23/10/2022,18
30/10/2022,18
06/11/2022,34
13/11/2022,32
20/11/2022,23
27/11/2022,21
04/12/2022,19
11/12/2022,20
18/12/2022,18
25/12/2022,18
01/01/2023,18
